episode,total_reward,coverage,steps,termination_reason,terminated,truncated,coverage_reward_sum,current_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,tension_penalty_sum,safety_penalty_sum,max_current,safety_interventions,hardware_error,hardware_error_ids,current_aware_scaling_count,temperature_high_count,temperature_critical_count,voltage_low_count,voltage_critical_count,tension_safety_count,opposing_motors_count,tension_too_low_count,high_horizontal_current_count,high_vertical_current_count,single_motor_over_current_count,position_limit_pull_count,position_limit_release_count,motor_stuck_count,safety_penalty_current_aware_scaling,safety_penalty_temperature_high,safety_penalty_temperature_critical,safety_penalty_voltage_low,safety_penalty_voltage_critical,safety_penalty_tension_safety,safety_penalty_opposing_motors,safety_penalty_tension_too_low,safety_penalty_high_horizontal_current,safety_penalty_high_vertical_current,safety_penalty_single_motor_over_current,safety_penalty_position_limit_pull,safety_penalty_position_limit_release,safety_penalty_motor_stuck
13,0.9985142857142857,0.00020242914979757084,2,out_of_bounds,True,False,1.0,1.0,-0.0014857142857142857,0.0,0.0,0.0,26.0,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.498628571428571,0.0003036437246963563,3,out_of_bounds,True,False,2.0,1.5,-0.0013714285714285716,0.0,0.0,0.0,32.0,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.3750390689849854,0.0003036437246963563,3,out_of_bounds,True,False,2.0,1.5,-0.0031999999999999997,0.0,0.0,-0.12176093101501465,43.0,2,False,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12176093101501465,0.0,0.0,0.0,0.0,0.0,0.0
16,39.13170965816974,0.0027327935222672063,32,out_of_bounds,True,False,26.0,16.0,-0.07160000000000001,0.0,0.0,-1.7966903418302533,301.0,14,False,,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7966903418302533,0.0,0.0,0.0,0.0,0.0,0.0
16,12.181602989356858,0.0008097165991902834,11,observation_failed,True,False,7.0,5.5,-0.007314285714285715,0.0,0.0,-0.31108272492885586,43.0,4,False,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31108272492885586,0.0,0.0,0.0,0.0,0.0,0.0
16,187.4959211880932,0.009615384615384616,300,max_steps,False,True,94.0,136.39999999999998,-0.6846857142857163,0.0,-3.322199999999999,-38.897193097621205,679.0,360,False,,13,0,0,0,0,0,0,144,0,21,2,0,0,0,-0.47333818152546875,0.0,0.0,0.0,0.0,0.0,0.0,-33.932309027463205,0.0,-4.226194509118795,-0.2653513795137405,0.0,0.0,0.0
17,191.27927400549493,0.007995951417004049,300,max_steps,False,True,78.0,146.8,-0.5846285714285715,0.0,-0.7064999999999999,-32.22959742307663,623.0,308,False,,4,0,0,0,0,0,1,143,0,5,1,0,0,0,-0.16370982900261877,0.0,0.0,0.0,0.0,0.0,-0.11455678582191467,-30.518930041640996,0.0,-1.2733107477426526,-0.15909001886844634,0.0,0.0,0.0
18,123.32250119522126,0.005870445344129555,180,observation_failed,True,False,57.0,90.0,-0.20051428571428578,0.0,0.0,-23.476984519064423,145.0,206,False,,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.476984519064423,0.0,0.0,0.0,0.0,0.0,0.0
19,184.85543243786117,0.007894736842105263,300,max_steps,False,True,77.0,150.0,-0.5564000000000001,0.0,-0.12869999999999998,-41.45946756213902,487.0,332,False,,3,0,0,0,0,0,0,163,0,0,0,0,0,0,-0.13512197509407997,0.0,0.0,0.0,0.0,0.0,0.0,-41.32434558704494,0.0,0.0,0.0,0.0,0.0,0.0
20,188.63372184828205,0.008704453441295546,300,max_steps,False,True,85.0,150.0,-0.29845714285714314,0.0,0.0,-46.06782100886107,132.0,360,False,,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.06782100886107,0.0,0.0,0.0,0.0,0.0,0.0
21,191.27211059539323,0.00931174089068826,300,max_steps,False,True,91.0,150.0,-0.28720000000000057,0.0,0.0,-49.44068940460681,164.0,370,False,,0,0,0,0,0,0,1,184,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08947301745414733,-49.35121638715266,0.0,0.0,0.0,0.0,0.0,0.0
22,252.18390189631293,0.01568825910931174,292,out_of_bounds,True,False,154.0,146.0,-0.254,0.0,0.0,-46.56209810368716,18.0,376,False,,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.56209810368716,0.0,0.0,0.0,0.0,0.0,0.0
23,8.309672599107879,0.000708502024291498,11,out_of_bounds,True,False,6.0,5.5,-0.0074857142857142865,0.0,0.0,-2.182841686606407,32.0,20,False,,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.182841686606407,0.0,0.0,0.0,0.0,0.0,0.0
24,3.341741734637533,0.0004048582995951417,6,out_of_bounds,True,False,3.0,3.0,-0.0037714285714285714,0.0,0.0,-1.6544868367910381,14.0,12,False,,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6544868367910381,0.0,0.0,0.0,0.0,0.0,0.0
25,8.769245648060526,0.000708502024291498,9,out_of_bounds,True,False,6.0,4.5,-0.01542857142857143,0.0,0.0,-0.7153257805109023,104.0,6,False,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7153257805109023,0.0,0.0,0.0,0.0,0.0,0.0
26,11.280783814692496,0.0009109311740890688,13,out_of_bounds,True,False,8.0,6.5,-0.007600000000000001,0.0,0.0,-2.2116161853075025,36.0,18,False,,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2116161853075025,0.0,0.0,0.0,0.0,0.0,0.0
27,80.98573440139633,0.004554655870445344,102,out_of_bounds,True,False,44.0,51.0,-0.0991428571428571,0.0,0.0,-12.915122741460797,69.0,102,False,,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.915122741460797,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.7696042847633362,0.00010121457489878542,1,out_of_bounds,True,False,0.0,0.5,0.0,0.0,0.0,-0.26960428476333614,24.0,2,False,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26960428476333614,0.0,0.0,0.0,0.0,0.0,0.0
